# Renewables.ninja Solar PV (Point API) - 47.779, 13.045 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/Vienna, electricity in kW,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/Vienna"""," ""electricity"": ""kW""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""47.77850297496271"""," ""lon"": ""13.044836460634508"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1"""," ""system_loss"": ""0.1"""," ""tracking"": ""1"""," ""tilt"": ""35"""," ""azim"": ""180"""," ""raw"": false}}"
time,local_time,electricity,,,,,,,,,,,,,
01/01/2019 00:00,01/01/2019 01:00,0,,,,,,,,,,,,,
01/01/2019 01:00,01/01/2019 02:00,0,,,,,,,,,,,,,
01/01/2019 02:00,01/01/2019 03:00,0,,,,,,,,,,,,,
01/01/2019 03:00,01/01/2019 04:00,0,,,,,,,,,,,,,
01/01/2019 04:00,01/01/2019 05:00,0,,,,,,,,,,,,,
01/01/2019 05:00,01/01/2019 06:00,0,,,,,,,,,,,,,
01/01/2019 06:00,01/01/2019 07:00,0,,,,,,,,,,,,,
01/01/2019 07:00,01/01/2019 08:00,0.021,,,,,,,,,,,,,
01/01/2019 08:00,01/01/2019 09:00,0.073,,,,,,,,,,,,,
01/01/2019 09:00,01/01/2019 10:00,0.118,,,,,,,,,,,,,
01/01/2019 10:00,01/01/2019 11:00,0.178,,,,,,,,,,,,,
01/01/2019 11:00,01/01/2019 12:00,0.221,,,,,,,,,,,,,
01/01/2019 12:00,01/01/2019 13:00,0.215,,,,,,,,,,,,,
01/01/2019 13:00,01/01/2019 14:00,0.153,,,,,,,,,,,,,
01/01/2019 14:00,01/01/2019 15:00,0.037,,,,,,,,,,,,,
01/01/2019 15:00,01/01/2019 16:00,0,,,,,,,,,,,,,
01/01/2019 16:00,01/01/2019 17:00,0,,,,,,,,,,,,,
01/01/2019 17:00,01/01/2019 18:00,0,,,,,,,,,,,,,
01/01/2019 18:00,01/01/2019 19:00,0,,,,,,,,,,,,,
01/01/2019 19:00,01/01/2019 20:00,0,,,,,,,,,,,,,
01/01/2019 20:00,01/01/2019 21:00,0,,,,,,,,,,,,,
01/01/2019 21:00,01/01/2019 22:00,0,,,,,,,,,,,,,
01/01/2019 22:00,01/01/2019 23:00,0,,,,,,,,,,,,,
01/01/2019 23:00,02/01/2019 00:00,0,,,,,,,,,,,,,
02/01/2019 00:00,02/01/2019 01:00,0,,,,,,,,,,,,,
02/01/2019 01:00,02/01/2019 02:00,0,,,,,,,,,,,,,
02/01/2019 02:00,02/01/2019 03:00,0,,,,,,,,,,,,,
02/01/2019 03:00,02/01/2019 04:00,0,,,,,,,,,,,,,
02/01/2019 04:00,02/01/2019 05:00,0,,,,,,,,,,,,,
02/01/2019 05:00,02/01/2019 06:00,0,,,,,,,,,,,,,
02/01/2019 06:00,02/01/2019 07:00,0,,,,,,,,,,,,,
02/01/2019 07:00,02/01/2019 08:00,0.001,,,,,,,,,,,,,
02/01/2019 08:00,02/01/2019 09:00,0.016,,,,,,,,,,,,,
02/01/2019 09:00,02/01/2019 10:00,0.042,,,,,,,,,,,,,
02/01/2019 10:00,02/01/2019 11:00,0.078,,,,,,,,,,,,,
02/01/2019 11:00,02/01/2019 12:00,0.093,,,,,,,,,,,,,
02/01/2019 12:00,02/01/2019 13:00,0.061,,,,,,,,,,,,,
02/01/2019 13:00,02/01/2019 14:00,0.036,,,,,,,,,,,,,
02/01/2019 14:00,02/01/2019 15:00,0.006,,,,,,,,,,,,,
02/01/2019 15:00,02/01/2019 16:00,0,,,,,,,,,,,,,
02/01/2019 16:00,02/01/2019 17:00,0,,,,,,,,,,,,,
02/01/2019 17:00,02/01/2019 18:00,0,,,,,,,,,,,,,
02/01/2019 18:00,02/01/2019 19:00,0,,,,,,,,,,,,,
02/01/2019 19:00,02/01/2019 20:00,0,,,,,,,,,,,,,
02/01/2019 20:00,02/01/2019 21:00,0,,,,,,,,,,,,,
02/01/2019 21:00,02/01/2019 22:00,0,,,,,,,,,,,,,
02/01/2019 22:00,02/01/2019 23:00,0,,,,,,,,,,,,,
02/01/2019 23:00,03/01/2019 00:00,0,,,,,,,,,,,,,
03/01/2019 00:00,03/01/2019 01:00,0,,,,,,,,,,,,,
03/01/2019 01:00,03/01/2019 02:00,0,,,,,,,,,,,,,
03/01/2019 02:00,03/01/2019 03:00,0,,,,,,,,,,,,,
03/01/2019 03:00,03/01/2019 04:00,0,,,,,,,,,,,,,
03/01/2019 04:00,03/01/2019 05:00,0,,,,,,,,,,,,,
03/01/2019 05:00,03/01/2019 06:00,0,,,,,,,,,,,,,
03/01/2019 06:00,03/01/2019 07:00,0,,,,,,,,,,,,,
03/01/2019 07:00,03/01/2019 08:00,0.016,,,,,,,,,,,,,
03/01/2019 08:00,03/01/2019 09:00,0.095,,,,,,,,,,,,,
03/01/2019 09:00,03/01/2019 10:00,0.192,,,,,,,,,,,,,
03/01/2019 10:00,03/01/2019 11:00,0.263,,,,,,,,,,,,,
03/01/2019 11:00,03/01/2019 12:00,0.21,,,,,,,,,,,,,
03/01/2019 12:00,03/01/2019 13:00,0.123,,,,,,,,,,,,,
03/01/2019 13:00,03/01/2019 14:00,0.064,,,,,,,,,,,,,
03/01/2019 14:00,03/01/2019 15:00,0.021,,,,,,,,,,,,,
03/01/2019 15:00,03/01/2019 16:00,0,,,,,,,,,,,,,
03/01/2019 16:00,03/01/2019 17:00,0,,,,,,,,,,,,,
03/01/2019 17:00,03/01/2019 18:00,0,,,,,,,,,,,,,
03/01/2019 18:00,03/01/2019 19:00,0,,,,,,,,,,,,,
03/01/2019 19:00,03/01/2019 20:00,0,,,,,,,,,,,,,
03/01/2019 20:00,03/01/2019 21:00,0,,,,,,,,,,,,,
03/01/2019 21:00,03/01/2019 22:00,0,,,,,,,,,,,,,
03/01/2019 22:00,03/01/2019 23:00,0,,,,,,,,,,,,,
03/01/2019 23:00,04/01/2019 00:00,0,,,,,,,,,,,,,
04/01/2019 00:00,04/01/2019 01:00,0,,,,,,,,,,,,,
04/01/2019 01:00,04/01/2019 02:00,0,,,,,,,,,,,,,
04/01/2019 02:00,04/01/2019 03:00,0,,,,,,,,,,,,,
04/01/2019 03:00,04/01/2019 04:00,0,,,,,,,,,,,,,
04/01/2019 04:00,04/01/2019 05:00,0,,,,,,,,,,,,,
04/01/2019 05:00,04/01/2019 06:00,0,,,,,,,,,,,,,
04/01/2019 06:00,04/01/2019 07:00,0,,,,,,,,,,,,,
04/01/2019 07:00,04/01/2019 08:00,0.006,,,,,,,,,,,,,
04/01/2019 08:00,04/01/2019 09:00,0.023,,,,,,,,,,,,,
04/01/2019 09:00,04/01/2019 10:00,0.046,,,,,,,,,,,,,
04/01/2019 10:00,04/01/2019 11:00,0.077,,,,,,,,,,,,,
04/01/2019 11:00,04/01/2019 12:00,0.069,,,,,,,,,,,,,
04/01/2019 12:00,04/01/2019 13:00,0.039,,,,,,,,,,,,,
04/01/2019 13:00,04/01/2019 14:00,0.02,,,,,,,,,,,,,
04/01/2019 14:00,04/01/2019 15:00,0.004,,,,,,,,,,,,,
04/01/2019 15:00,04/01/2019 16:00,0,,,,,,,,,,,,,
04/01/2019 16:00,04/01/2019 17:00,0,,,,,,,,,,,,,
04/01/2019 17:00,04/01/2019 18:00,0,,,,,,,,,,,,,
04/01/2019 18:00,04/01/2019 19:00,0,,,,,,,,,,,,,
04/01/2019 19:00,04/01/2019 20:00,0,,,,,,,,,,,,,
04/01/2019 20:00,04/01/2019 21:00,0,,,,,,,,,,,,,
04/01/2019 21:00,04/01/2019 22:00,0,,,,,,,,,,,,,
04/01/2019 22:00,04/01/2019 23:00,0,,,,,,,,,,,,,
