Seasons	Time	Price
January	1	0.04859
January	2	0.04859
January	3	0.0488
January	4	0.0488
January	5	0.04784
January	6	0.04784
January	7	0.04611
January	8	0.04611
January	9	0.04608
January	10	0.04608
January	11	0.04762
January	12	0.04762
January	13	0.05577
January	14	0.05577
January	15	0.06861
January	16	0.06861
January	17	0.07415
January	18	0.07415
January	19	0.07493
January	20	0.07493
January	21	0.07359
January	22	0.07359
January	23	0.07123
January	24	0.07123
January	25	0.06909
January	26	0.06909
January	27	0.06724
January	28	0.06724
January	29	0.06499
January	30	0.06499
January	31	0.06605
January	32	0.06605
January	33	0.06606
January	34	0.06606
January	35	0.06692
January	36	0.06692
January	37	0.06598
January	38	0.06598
January	39	0.06498
January	40	0.06498
January	41	0.0659
January	42	0.0659
January	43	0.06492
January	44	0.06492
January	45	0.06409
January	46	0.06409
January	47	0.04602
January	48	0.04602
January	49	0.04202
January	50	0.04202
January	51	0.03806
January	52	0.03806
January	53	0.03905
January	54	0.03905
January	55	0.02265
January	56	0.02265
January	57	0.03805
January	58	0.03805
January	59	0.04009
January	60	0.04009
January	61	0.04209
January	62	0.04209
January	63	0.06397
January	64	0.06397
January	65	0.06495
January	66	0.06495
January	67	0.06593
January	68	0.06593
January	69	0.06593
January	70	0.06593
January	71	0.06592
January	72	0.06592
January	73	0.06496
January	74	0.06496
January	75	0.06493
January	76	0.06493
January	77	0.06493
January	78	0.06493
January	79	0.064
January	80	0.064
January	81	0.06399
January	82	0.06399
January	83	0.06396
January	84	0.06396
January	85	0.062
January	86	0.062
January	87	0.04902
January	88	0.04902
January	89	0.04633
January	90	0.04633
January	91	0.0533
January	92	0.0533
January	93	0.05269
January	94	0.05269
January	95	0.04201
January	96	0.04201
January	97	0.02803
January	98	0.02803
January	99	0.042
January	100	0.042
January	101	0.0411
January	102	0.0411
January	103	0.04006
January	104	0.04006
January	105	0.04301
January	106	0.04301
January	107	0.04304
January	108	0.04304
January	109	0.0431
January	110	0.0431
January	111	0.065
January	112	0.065
January	113	0.06498
January	114	0.06498
January	115	0.06498
January	116	0.06498
January	117	0.06499
January	118	0.06499
January	119	0.065
January	120	0.065
January	121	0.06594
January	122	0.06594
January	123	0.06593
January	124	0.06593
January	125	0.06594
January	126	0.06594
January	127	0.06592
January	128	0.06592
January	129	0.06499
January	130	0.06499
January	131	0.06496
January	132	0.06496
January	133	0.06496
January	134	0.06496
January	135	0.06491
January	136	0.06491
January	137	0.0562
January	138	0.0562
January	139	0.05454
January	140	0.05454
January	141	0.06294
January	142	0.06294
January	143	0.05512
January	144	0.05512
January	145	0.05846
January	146	0.05846
January	147	0.05055
January	148	0.05055
January	149	0.05096
January	150	0.05096
January	151	0.0488
January	152	0.0488
January	153	0.0485
January	154	0.0485
January	155	0.0498
January	156	0.0498
January	157	0.06292
January	158	0.06292
January	159	0.0726
January	160	0.0726
January	161	0.08117
January	162	0.08117
January	163	0.08179
January	164	0.08179
January	165	0.08115
January	166	0.08115
January	167	0.08
January	168	0.08
January	169	0.07639
January	170	0.07639
January	171	0.075
January	172	0.075
January	173	0.07606
January	174	0.07606
January	175	0.0754
January	176	0.0754
January	177	0.07678
January	178	0.07678
January	179	0.08345
January	180	0.08345
January	181	0.08515
January	182	0.08515
January	183	0.07816
January	184	0.07816
January	185	0.07192
January	186	0.07192
January	187	0.0675
January	188	0.0675
January	189	0.06548
January	190	0.06548
January	191	0.05619
January	192	0.05619
January	193	0.05052
January	194	0.05052
January	195	0.04843
January	196	0.04843
January	197	0.04719
January	198	0.04719
January	199	0.05118
January	200	0.05118
January	201	0.04701
January	202	0.04701
January	203	0.04752
January	204	0.04752
January	205	0.05281
January	206	0.05281
January	207	0.06306
January	208	0.06306
January	209	0.0641
January	210	0.0641
January	211	0.06599
January	212	0.06599
January	213	0.06491
January	214	0.06491
January	215	0.06401
January	216	0.06401
January	217	0.05853
January	218	0.05853
January	219	0.06601
January	220	0.06601
January	221	0.06431
January	222	0.06431
January	223	0.06695
January	224	0.06695
January	225	0.06608
January	226	0.06608
January	227	0.06692
January	228	0.06692
January	229	0.06496
January	230	0.06496
January	231	0.05427
January	232	0.05427
January	233	0.04719
January	234	0.04719
January	235	0.04718
January	236	0.04718
January	237	0.04861
January	238	0.04861
January	239	0.04476
January	240	0.04476
January	241	0.04956
January	242	0.04956
January	243	0.04709
January	244	0.04709
January	245	0.04498
January	246	0.04498
January	247	0.04508
January	248	0.04508
January	249	0.04244
January	250	0.04244
January	251	0.04403
January	252	0.04403
January	253	0.04298
January	254	0.04298
January	255	0.04306
January	256	0.04306
January	257	0.04442
January	258	0.04442
January	259	0.04825
January	260	0.04825
January	261	0.0482
January	262	0.0482
January	263	0.04816
January	264	0.04816
January	265	0.04647
January	266	0.04647
January	267	0.04308
January	268	0.04308
January	269	0.04403
January	270	0.04403
January	271	0.04504
January	272	0.04504
January	273	0.04509
January	274	0.04509
January	275	0.04645
January	276	0.04645
January	277	0.04889
January	278	0.04889
January	279	0.04409
January	280	0.04409
January	281	0.04003
January	282	0.04003
January	283	0.04508
January	284	0.04508
January	285	0.04145
January	286	0.04145
January	287	0.03317
January	288	0.03317
January	289	0.04005
January	290	0.04005
January	291	0.04303
January	292	0.04303
January	293	0.04303
January	294	0.04303
January	295	0.04301
January	296	0.04301
January	297	0.02806
January	298	0.02806
January	299	0.03801
January	300	0.03801
January	301	0.03454
January	302	0.03454
January	303	0.02277
January	304	0.02277
January	305	0.02968
January	306	0.02968
January	307	0.04304
January	308	0.04304
January	309	0.04306
January	310	0.04306
January	311	0.04306
January	312	0.04306
January	313	0.04401
January	314	0.04401
January	315	0.04405
January	316	0.04405
January	317	0.0531
January	318	0.0531
January	319	0.04409
January	320	0.04409
January	321	0.04408
January	322	0.04408
January	323	0.04402
January	324	0.04402
January	325	0.04402
January	326	0.04402
January	327	0.0431
January	328	0.0431
January	329	0.04401
January	330	0.04401
January	331	0.04176
January	332	0.04176
January	333	0.038
January	334	0.038
January	335	0.03608
January	336	0.03608
February	1	0.0437
February	2	0.0437
February	3	0.04137
February	4	0.04137
February	5	0.04048
February	6	0.04048
February	7	0.03921
February	8	0.03921
February	9	0.03855
February	10	0.03855
February	11	0.04072
February	12	0.04072
February	13	0.04923
February	14	0.04923
February	15	0.06157
February	16	0.06157
February	17	0.06044
February	18	0.06044
February	19	0.05867
February	20	0.05867
February	21	0.05389
February	22	0.05389
February	23	0.04952
February	24	0.04952
February	25	0.04658
February	26	0.04658
February	27	0.04577
February	28	0.04577
February	29	0.05991
February	30	0.05991
February	31	0.05995
February	32	0.05995
February	33	0.05995
February	34	0.05995
February	35	0.05998
February	36	0.05998
February	37	0.05995
February	38	0.05995
February	39	0.05991
February	40	0.05991
February	41	0.0598
February	42	0.0598
February	43	0.0441
February	44	0.0441
February	45	0.0431
February	46	0.0431
February	47	0.0361
February	48	0.0361
February	49	0.03618
February	50	0.03618
February	51	0.03795
February	52	0.03795
February	53	0.039
February	54	0.039
February	55	0.04003
February	56	0.04003
February	57	0.04003
February	58	0.04003
February	59	0.04303
February	60	0.04303
February	61	0.06008
February	62	0.06008
February	63	0.06409
February	64	0.06409
February	65	0.06397
February	66	0.06397
February	67	0.06397
February	68	0.06397
February	69	0.06492
February	70	0.06492
February	71	0.06285
February	72	0.06285
February	73	0.05939
February	74	0.05939
February	75	0.0582
February	76	0.0582
February	77	0.05796
February	78	0.05796
February	79	0.05804
February	80	0.05804
February	81	0.06035
February	82	0.06035
February	83	0.06306
February	84	0.06306
February	85	0.06579
February	86	0.06579
February	87	0.0636
February	88	0.0636
February	89	0.06177
February	90	0.06177
February	91	0.05355
February	92	0.05355
February	93	0.05077
February	94	0.05077
February	95	0.04731
February	96	0.04731
February	97	0.0428
February	98	0.0428
February	99	0.04163
February	100	0.04163
February	101	0.04106
February	102	0.04106
February	103	0.0404
February	104	0.0404
February	105	0.04138
February	106	0.04138
February	107	0.04231
February	108	0.04231
February	109	0.05117
February	110	0.05117
February	111	0.05832
February	112	0.05832
February	113	0.05959
February	114	0.05959
February	115	0.05797
February	116	0.05797
February	117	0.05793
February	118	0.05793
February	119	0.05517
February	120	0.05517
February	121	0.0557
February	122	0.0557
February	123	0.0554
February	124	0.0554
February	125	0.05293
February	126	0.05293
February	127	0.0543
February	128	0.0543
February	129	0.05673
February	130	0.05673
February	131	0.06027
February	132	0.06027
February	133	0.0624
February	134	0.0624
February	135	0.06059
February	136	0.06059
February	137	0.0563
February	138	0.0563
February	139	0.05049
February	140	0.05049
February	141	0.0495
February	142	0.0495
February	143	0.04618
February	144	0.04618
February	145	0.04625
February	146	0.04625
February	147	0.04521
February	148	0.04521
February	149	0.04124
February	150	0.04124
February	151	0.03805
February	152	0.03805
February	153	0.037
February	154	0.037
February	155	0.03904
February	156	0.03904
February	157	0.04806
February	158	0.04806
February	159	0.0539
February	160	0.0539
February	161	0.05602
February	162	0.05602
February	163	0.05615
February	164	0.05615
February	165	0.05396
February	166	0.05396
February	167	0.05398
February	168	0.05398
February	169	0.05396
February	170	0.05396
February	171	0.05393
February	172	0.05393
February	173	0.05393
February	174	0.05393
February	175	0.05393
February	176	0.05393
February	177	0.05393
February	178	0.05393
February	179	0.05398
February	180	0.05398
February	181	0.05398
February	182	0.05398
February	183	0.05395
February	184	0.05395
February	185	0.05399
February	186	0.05399
February	187	0.05195
February	188	0.05195
February	189	0.05195
February	190	0.05195
February	191	0.03854
February	192	0.03854
February	193	0.03502
February	194	0.03502
February	195	0.03423
February	196	0.03423
February	197	0.03356
February	198	0.03356
February	199	0.03204
February	200	0.03204
February	201	0.03582
February	202	0.03582
February	203	0.04008
February	204	0.04008
February	205	0.05496
February	206	0.05496
February	207	0.05667
February	208	0.05667
February	209	0.05796
February	210	0.05796
February	211	0.05736
February	212	0.05736
February	213	0.0579
February	214	0.0579
February	215	0.05787
February	216	0.05787
February	217	0.05598
February	218	0.05598
February	219	0.05498
February	220	0.05498
February	221	0.05545
February	222	0.05545
February	223	0.05522
February	224	0.05522
February	225	0.05498
February	226	0.05498
February	227	0.05596
February	228	0.05596
February	229	0.05595
February	230	0.05595
February	231	0.05495
February	232	0.05495
February	233	0.05391
February	234	0.05391
February	235	0.0522
February	236	0.0522
February	237	0.04277
February	238	0.04277
February	239	0.03402
February	240	0.03402
February	241	0.0351
February	242	0.0351
February	243	0.03205
February	244	0.03205
February	245	0.03408
February	246	0.03408
February	247	0.03509
February	248	0.03509
February	249	0.03406
February	250	0.03406
February	251	0.03404
February	252	0.03404
February	253	0.04578
February	254	0.04578
February	255	0.048
February	256	0.048
February	257	0.05496
February	258	0.05496
February	259	0.05593
February	260	0.05593
February	261	0.05595
February	262	0.05595
